Mysis MeasUUrements,,,,,,,,,,,,,,FF = Fresh FUUll,,F = Female,UU = UUnknown,F2 - LDM - Large Dark MarsUUpiUUm,,,,
,,,,,,,,,,,,,,FS = Fresh Starved,,MI = ImmatUUre Male,,F3 - CM - Clear marsUUpiUUm (post gestation),,,,
,,,,, Collection ,,,,Collection,,,, ,,,,,,,,,
,TL Data, Net ,Collection,SAS collection, Total ,,Total,,Sample,Sample, Total ,,Process,Sample,,,,,,,,
No.,AUUdited, Size (m) ,Date,date, Depth (m) ,Station,Length (mm),Gender,Time,No., CoUUnt ,Comments,Date,Type,Sample Label,,,,,,,
1,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,14.61,UU,21:55,1, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
2,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,14.95,M1,21:55,2, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
3,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,15.84,F1,21:55,3, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
4,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,14.87,M1,21:55,4, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
5,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,9.21,JJ,21:55,5, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
6,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,14.77,M1,21:55,6, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
7,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,6.71,JJ,21:55,7, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
8,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,5.04,JJ,21:55,8, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
9,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,8.61,JJ,21:55,9, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
10,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,4.66,JJ,21:55,10, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
11,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,4.50,JJ,21:55,11, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
12,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,4.31,JJ,21:55,12, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
13,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,5.85,JJ,21:55,13, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
14,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,9.64,JJ,21:55,14, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
15,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,6.18,JJ,21:55,15, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
16,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,5.75,JJ,21:55,16, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
17,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,6.53,JJ,21:55,17, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
18,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,9.15,JJ,21:55,18, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
19,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,10.79,UU,21:55,19, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
20,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,5.49,JJ,21:55,20, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
21,Yes, 0.5 ,07/20/14,19924, 16.5 ,DIL-6,4.30,JJ,21:55,21, 31 ,,"August 14, 2014",PF,DIL_MYS_072014-001,,,,,,,
